start	end	text
158980	163300	nos sumergiremos en la mente de Antoni Gaudí a través de la realidad virtual, sonidos
163420	169100	dimensionales, intervenciones olfativas, texturas que invitan a ser acariciadas, así como arte
169100	173580	en movimiento con la plataforma giratoria que encontramos en la primera sala, en la que
173580	179020	nos trasladamos al origen de todo, un momento revelador en la infancia del genio.
179020	183340	Si no te quieres perder ningún detalle, te recomiendo la visita de realidad aumentada,
183340	188620	en la que te facilitarán una tablet con la que podrás observar como la casa cobra vida.
188620	191220	Puedes reservarla pinchando arriba a la derecha.
191260	195700	A continuación se accede al vestíbulo, donde se encuentra la consergería original
195700	200020	y los elementos inspirados en la naturaleza comienzan a hacerse notar, como por ejemplo
200020	204620	las clarabollas con forma de caparazón de tortuga, la escalera de madera cuya baranda
204620	209780	simula el espinazo de un gran cetáceo o el revestimiento de paredes y techos recreando
209780	213020	la piel de un animal nuevamente.
213020	217300	Ya en la planta noble, destaca la chimenea en forma de zeta del despacho del señor
218220	222580	y el salón principal de la casa con un gran ventanal que ofrece privilegiadas vistas al
222580	228780	paseo de gracia, así como un techo muy peculiar cuyas ondulaciones aluden a la fuerza del
228780	229780	mar.
229780	234180	La casa también dispone de un jardín interior que destaca por su pavimento y por las jardineras
234180	238820	recubiertas de cerámica y vidrio como elemento decorativo.
238820	243100	El patio de luces juega un gran papel, ya que es el encargado de distribuir el aire
243100	247860	y la luz natural a toda la casa, por ello los azulejos que lo revisten presentan una
247860	252740	degradación de color, siendo más intensos los de la parte superior y más claros los
252740	257740	inferiores, a la inversa que las ventanas, que son más pequeñas arriba y a medida que
257740	261260	vamos descendiendo, van aumentando su tamaño.
261260	265020	También relacionado con la ventilación encontramos unas rendijas de madera móviles
265020	270820	que sirven para graduar la ventilación y nos recuerdan a las branquias de los peces.
270820	275300	Con la entrada Gold también podemos acceder al dormitorio de la familia donde disfrutamos
275300	279780	de un poco de paz lejos de la masificación que hay en el resto de salas.
279780	284700	Si eres de los que huyes de las hordas de turistas, tienes disponible una visita matinal
284700	287380	antes de la hora oficial de apertura.
287380	292220	Seguimos subiendo y llegamos al desbán, donde se situaban los trasteros y lavaderos de cada
292220	296980	una de las viviendas del edificio y debido a los 60 arcos que emulan el costillar de
296980	301900	un animal, te sentirás en el vientre de un dragón si seguimos el hilo de la leyenda
301900	306060	o una ballena si continuamos en la línea de la inspiración marina.
306060	310660	Desde aquí se accede al balcón que simula la rosa y puedes pagar para que te hagan la
310660	315100	foto de rigor que luego podrás descargar desde la web.
315100	320700	Llegamos al punto más alto del edificio, la azotea, donde hay varios elementos a destacar,
320700	325140	el lomo del dragón que corona la fachada y los conjuntos de chimeneas de ingeniosas
325140	330340	formas diseñadas para impedir que el aire resople de vuelta hacia adentro, además podrás
330340	335260	relajarte un rato contemplando este magnífico lugar mientras tomas algo al aire libre en
335260	337620	el bar habilitado.
337620	342820	Una vez comenzamos a descender nos encontramos con unas majestuosas escaleras dotadas de
342820	348860	cortinas de cuentas de aluminio que portan dos mensajes implícitos, el primero la similitud
348860	354180	con las redes de pesca y el segundo y más importante es que hablan de la luz, por ese
354180	359180	motivo al inicio del recorrido en la azotea los colores son más claros y a medida que
359180	362700	se van acercando a la tierra se van oscureciendo.
362700	368580	Y para finalizar nos sumergimos en la primera experiencia a 360 grados real del mundo, el
368580	373780	Gaudi Cube, ideal para poner el punto final a esta visita tan especial.
373780	378860	Hoy en día la Casa Valló forma parte del patrimonio mundial de la UNESCO y acoge alrededor
378860	384020	de un millón de visitantes al año gracias a su innovación y apuesta tecnológica, capaz
384020	386340	de emocionar a todos los públicos.
386340	387980	¿Te lo vas a perder?
387980	390780	Yo te espero en el próximo destino.
390780	395100	Sigue viajando conmigo, suscríbete y no olvides activar la campanita.
